"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","O42480","9.0","0","1","0","0.9894083141506931","false","0","O42480","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","O95863","9.0","0","1","0","0.9894083141506931","false","0","O95863","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","O95149","9.0","0","1","0","0.9894083141506931","false","0","O95149","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","P52292","9.0","0","1","0","0.9894083141506931","false","0","P52292","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","Q02630","9.0","0","1","0","0.9894083141506931","false","0","Q02630","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","P14907","9.0","0","1","0","0.9894083141506931","false","0","P14907","0","0.0"
"3.732654949121184","0.0","0.267905824039653","0.0","1","4","false","P12272","9.0","0","1","0","0.9894083141506931","false","0","P12272","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R1E6","21.0","0","1","0","0.9894477550932599","false","0","C4R1E6","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R6B2","21.0","0","1","0","0.9894477550932599","false","0","C4R6B2","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R7L8","21.0","0","1","0","0.9894477550932599","false","0","C4R7L8","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R7H2","21.0","0","1","0","0.9894477550932599","false","0","C4R7H2","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","F2QX94","21.0","0","1","0","0.9894477550932599","false","0","F2QX94","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4QZ45","21.0","0","1","0","0.9894477550932599","false","0","C4QZ45","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R370","21.0","0","1","0","0.9894477550932599","false","0","C4R370","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R2R6","21.0","0","1","0","0.9894477550932599","false","0","C4R2R6","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4QY79","21.0","0","1","0","0.9894477550932599","false","0","C4QY79","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","F2QUC3","21.0","0","1","0","0.9894477550932599","false","0","F2QUC3","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","A0A1B2JER8","21.0","0","1","0","0.9894477550932599","false","0","A0A1B2JER8","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R3Z5","21.0","0","1","0","0.9894477550932599","false","0","C4R3Z5","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","F2QPE6","21.0","0","1","0","0.9894477550932599","false","0","F2QPE6","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R273","21.0","0","1","0","0.9894477550932599","false","0","C4R273","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R9A1","21.0","0","1","0","0.9894477550932599","false","0","C4R9A1","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R1V1","21.0","0","1","0","0.9894477550932599","false","0","C4R1V1","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R3P8","21.0","0","1","0","0.9894477550932599","false","0","C4R3P8","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R2U9","21.0","0","1","0","0.9894477550932599","false","0","C4R2U9","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4R7L2","21.0","0","1","0","0.9894477550932599","false","0","C4R7L2","0","0.0"
"3.7224791859389454","0.0","0.26863817097415504","0.0","1","4","false","C4QZQ7","21.0","0","1","0","0.9894477550932599","false","0","C4QZQ7","0","0.0"
"3.7197039777983347","0.0","0.26883859736383986","0.0","1","4","false","D4A055","6.0","0","1","0","0.9894585117139599","false","0","D4A055","0","0.0"
"3.7197039777983347","0.0","0.26883859736383986","0.0","1","4","false","Q96KQ7","6.0","0","1","0","0.9894585117139599","false","0","Q96KQ7","0","0.0"
"2.723404255319149","0.036677287833624554","0.3671875","0.0","21","3","false","C4R4Y0","13.238095238095237","0","21","0","0.9933201385452746","false","0","C4R4Y0","59540","0.047619047619047616"
"2.7604070305272894","0.0","0.36226541554959785","0.0","1","3","false","O75164","258.0","0","1","0","0.9931767169359408","false","0","O75164","0","0.0"
"2.7604070305272894","0.0","0.36226541554959785","0.0","1","3","false","Q8N8U2","258.0","0","1","0","0.9931767169359408","false","0","Q8N8U2","0","0.0"
"2.7604070305272894","0.0","0.36226541554959785","0.0","1","3","false","Q9Y468","258.0","0","1","0","0.9931767169359408","false","0","Q9Y468","0","0.0"
"3.755781683626272","0.0","0.266256157635468","0.0","1","4","false","P30837","3.0","0","1","0","0.9893186756448594","false","0","P30837","0","0.0"
"3.755781683626272","0.0","0.266256157635468","0.0","1","4","false","Q3SY52","3.0","0","1","0","0.9893186756448594","false","0","Q3SY52","0","0.0"
"3.757631822386679","0.0","0.26612506154603643","0.0","1","4","false","Q08211","2.0","0","1","0","0.9893115045643927","false","0","Q08211","0","0.0"
"3.757631822386679","0.0","0.26612506154603643","0.0","1","4","false","P60903","2.0","0","1","0","0.9893115045643927","false","0","P60903","0","0.0"
"3.757631822386679","0.0","0.26612506154603643","0.0","1","4","false","Q8IX06","2.0","0","1","0","0.9893115045643927","false","0","Q8IX06","0","0.0"
"3.583718778908418","0.0","0.27903975219411464","0.0","1","4","false","O60343","35.0","0","1","0","0.989985586128262","false","0","O60343","0","0.0"
"3.6975023126734503","0.0","0.27045283962972233","0.0","1","4","false","O43824","18.0","0","1","0","0.9895445646795602","false","0","O43824","0","0.0"
"3.6604995374653098","0.0","0.2731867576446803","0.0","1","4","false","Q86UG4","31.0","0","1","0","0.9896879862888941","false","0","Q86UG4","0","0.0"
"3.757631822386679","0.0","0.26612506154603643","0.0","1","4","false","Q99623","2.0","0","1","0","0.9893115045643927","false","0","Q99623","0","0.0"
